depth,age,abb_pic_mix,abies_b,acer_mix,acer_r,acer_s,alnus_c,alnus_mix,alnus_r,betula_mix,corylus_c,eucalyptus,juni_thuya,npp_mix,picea_mix,pinus_b_mix,pinus_mix,pinus_s,quercus_r,tricolp_mix,tripor_mix,unknown
807,5909,72,20,1,0,1,0,0,0,24,3,5,5,261,48,52,94,15,6,8,35,40
810,5936,82,29,7,0,7,2,6,4,17,1,1,5,136,46,169,246,21,4,12,25,40
813,5963,209,36,10,1,7,0,3,3,58,4,8,22,294,159,113,320,80,3,13,78,92
816,5991,112,17,2,2,0,0,1,1,25,0,1,17,165,84,88,162,19,3,6,31,63
819,6018,120,21,3,1,0,0,5,3,13,0,1,11,151,81,56,133,24,3,6,21,35
822,6046,99,19,5,2,3,1,3,2,24,0,1,13,111,71,55,143,29,1,6,31,57
825,6074,47,9,7,1,4,1,4,3,33,3,10,11,150,37,81,259,66,1,10,50,37
828,6102,146,31,14,4,7,1,4,3,70,5,13,29,363,98,188,425,90,3,23,107,120
831,6131,175,62,3,0,3,0,2,2,25,2,7,11,147,91,71,147,28,4,9,40,60
834,6159,26,8,5,4,1,4,4,0,24,4,8,13,99,15,80,274,83,0,7,43,35
837,6188,165,54,8,2,6,0,1,1,26,2,2,9,307,95,146,242,23,2,13,32,65
840,6217,232,44,3,2,1,1,2,0,35,1,1,18,169,166,160,316,54,2,8,44,89
843,6246,321,78,11,1,9,0,2,2,31,3,4,17,223,221,301,594,111,7,23,47,120
846,6275,119,24,5,0,5,1,2,0,21,2,5,20,208,80,75,162,36,0,7,32,39
849,6305,73,9,3,1,2,0,0,0,7,0,1,8,142,55,39,138,44,0,3,8,23
852,6335,70,10,3,1,2,0,2,2,26,0,3,7,108,55,38,160,61,2,6,33,37
855,6365,111,29,4,0,4,0,1,1,16,1,2,15,119,68,22,88,33,0,4,21,43
858,6395,34,9,7,1,5,1,2,1,28,1,2,21,277,23,149,404,98,2,9,35,42
861,6425,60,12,12,6,3,0,1,1,19,1,3,21,246,43,151,464,141,1,16,28,61
864,6455,143,47,4,1,3,0,1,1,3,1,0,4,123,82,238,335,23,2,6,6,49
867,6486,64,20,8,6,1,0,1,1,1,0,2,6,103,37,159,224,26,3,12,4,41
870,6517,191,43,4,0,3,2,3,0,13,2,2,12,243,125,214,495,105,5,10,21,92
873,6548,152,62,5,2,2,0,0,0,3,0,2,6,56,78,94,150,18,2,7,5,44
876,6580,46,8,1,0,1,0,0,0,3,0,2,3,50,34,40,104,22,1,4,6,31
879,6612,149,33,3,1,2,0,3,3,23,5,3,15,136,103,95,211,46,1,8,36,62
882,6644,111,18,2,1,1,0,0,0,16,1,3,11,130,81,97,194,34,1,6,22,38
885,6677,149,39,6,3,3,0,4,3,13,2,6,16,133,94,73,146,30,7,14,26,54
888,6710,70,29,6,4,1,1,1,0,5,3,0,5,52,38,159,207,19,0,7,9,26
891,6743,37,9,16,5,6,0,1,1,11,5,1,9,63,26,219,274,21,2,24,24,46
894,6777,158,39,5,2,2,1,1,0,16,3,3,18,117,101,141,274,38,2,7,26,51
897,6812,59,16,3,0,3,0,1,1,4,1,2,10,47,37,126,224,48,3,6,10,34
900,6847,203,72,10,3,6,1,2,1,33,5,8,23,227,99,155,269,45,5,19,54,89
903,6882,53,6,4,2,2,1,2,1,6,5,1,7,82,44,135,439,129,1,5,16,51
906,6919,113,49,15,10,4,0,1,1,9,3,1,5,209,56,146,279,47,4,21,17,65
909,6956,194,36,3,2,1,1,2,1,11,2,4,16,154,139,164,352,70,6,11,20,63
912,6993,106,31,10,4,5,3,4,1,7,1,2,7,173,58,205,292,37,2,15,17,60
915,7031,187,51,6,2,3,0,4,1,5,2,1,11,196,104,208,365,41,4,13,12,62
918,7070,202,74,5,2,3,0,0,0,5,1,1,12,123,91,143,216,21,2,7,9,60
921,7110,338,123,9,5,4,0,1,0,9,1,5,10,184,183,70,111,16,5,16,19,57
925,7164,71,8,8,2,6,1,2,1,13,2,0,8,160,58,168,367,78,4,15,22,46
927,7192,100,28,1,0,1,1,1,0,9,0,3,10,74,62,78,138,21,1,5,14,30
930,7234,210,72,8,1,5,0,2,1,8,2,3,15,118,115,129,220,23,4,16,16,59
933,7276,346,124,11,4,7,0,2,2,39,7,12,28,329,174,197,307,32,9,23,64,90
936,7320,150,27,1,1,0,0,1,1,6,1,0,12,131,109,55,165,44,3,5,9,65
939,7365,335,163,2,0,2,0,0,0,4,0,2,10,77,142,246,348,26,3,13,6,73
942,7411,173,41,10,1,4,0,0,0,18,1,8,22,161,109,401,663,94,4,18,32,92
945,7457,195,79,6,2,3,0,0,0,0,0,3,9,69,88,186,290,28,3,10,4,86
948,7505,148,44,8,3,4,1,1,0,6,4,3,14,153,87,203,312,29,2,12,16,64
951,7554,337,141,15,2,11,0,3,3,14,0,5,28,309,163,276,368,33,11,31,26,112
954,7603,35,4,10,4,5,1,1,0,5,0,1,4,79,29,55,151,39,0,12,7,20
957,7654,68,10,16,11,3,2,3,1,22,3,10,31,155,51,418,598,67,5,26,43,58
960,7706,285,75,17,8,8,0,2,2,12,7,6,32,365,188,216,427,85,25,47,29,116
963,7758,288,92,8,2,5,2,3,0,13,0,4,16,357,160,211,306,37,5,15,24,100
966,7812,121,41,4,1,3,0,0,0,2,0,0,6,102,67,82,130,18,3,8,3,45
969,7866,105,25,6,2,4,0,1,1,12,4,7,7,286,71,126,251,35,4,10,24,39
972,7922,117,25,12,3,6,0,1,1,4,1,4,15,223,84,181,288,37,4,20,12,48
975,7978,154,57,6,4,2,1,2,0,7,0,2,24,205,83,174,232,21,4,11,15,67
978,8035,177,55,6,0,6,0,2,2,11,0,3,21,266,107,185,277,35,2,10,19,49
981,8092,109,26,9,1,7,3,6,1,24,2,5,27,220,65,75,183,47,3,16,42,52
984,8151,147,33,10,6,3,0,3,3,11,3,5,25,261,106,183,267,19,5,19,27,57
985,8171,70,23,10,8,1,0,4,4,22,6,8,38,248,38,108,240,51,5,19,50,60
987,8210,173,63,12,5,5,0,0,0,9,4,8,33,258,93,241,347,25,3,17,23,69
990,8270,194,38,7,4,3,1,3,2,37,2,11,38,364,133,226,340,31,15,24,55,85
993,8331,143,48,11,4,6,0,5,5,44,0,15,21,343,83,116,186,23,6,21,70,62
996,8392,93,21,15,1,12,1,5,4,36,8,10,30,289,64,194,299,37,7,22,71,81
999,8454,175,64,7,2,5,5,7,2,35,1,10,23,336,91,210,269,20,5,16,57,79
1002,8516,137,52,12,5,6,2,5,3,18,1,7,15,150,77,151,214,18,9,25,33,58
1005,8579,350,137,15,7,8,7,9,2,26,4,10,40,405,175,469,670,76,11,31,56,113
1008,8642,97,33,5,2,3,1,4,3,16,6,7,26,146,54,127,176,19,7,12,34,27
1011,8706,217,61,20,7,12,2,4,1,56,3,7,40,297,126,291,391,33,6,31,74,98
1014,8771,162,84,12,1,9,0,0,0,35,3,3,31,408,65,93,155,19,6,18,46,51
1017,8836,257,88,15,5,10,0,3,3,48,0,4,34,349,138,289,356,13,11,30,62,73
1020,8901,62,38,4,0,3,0,2,1,27,3,14,23,302,19,43,60,3,4,12,49,40
1023,8967,211,104,14,5,8,1,7,6,51,1,13,38,388,85,146,186,5,8,28,84,89
1025,9011,65,18,13,3,10,0,0,0,19,3,11,24,139,42,184,247,20,10,27,38,38
1026,9033,185,58,12,7,5,0,1,1,29,4,7,37,264,111,192,327,41,6,21,49,70
